EventDate,EventName,Quantity,Price,Merchandise_Sales,Concession_Sales
2019-02-24 17:00:00,Cold War,23,197.5,0.0,69.0
2019-02-24 19:00:00,R.S.,102,1530.0,0.0,146.5
2019-02-25 19:30:00,Cold War,6,54.75,0.0,41.0
2019-02-26 17:00:00,Cold War,9,73.5,0.0,12.0
2019-02-26 19:30:00,Cold War,10,85.5,0.0,26.75
2019-02-27 17:00:00,Cold War,18,139.0,0.0,27.5
2019-02-27 19:30:00,Cold War,20,182.5,0.0,58.0
2019-02-28 17:00:00,Cold War,19,152.75,0.0,48.25
2019-02-28 19:30:00,Cold War,28,244.75,0.0,73.0
2019-02-28 21:30:00,Candyman,2,16.0,0.0,4.5
2019-03-01 16:30:00,Roma,18,131.0,0.0,33.0
2019-03-01 19:30:00,Roma,41,343.25,0.0,116.0
2019-03-02 12:00:00,2019 Oscar Nominated Short Films: Animation,7,57.75,0.0,18.0
2019-03-02 14:00:00,Roma,46,383.75,0.0,83.5
2019-03-02 17:00:00,The Favourite,99,776.25,0.0,389.0
2019-03-02 19:30:00,Cold War,35,329.5,0.0,95.5
2019-03-03 13:00:00,The Favourite,44,370.75,0.0,121.25
2019-03-03 16:00:00,Roma,48,395.25,0.0,146.25
2019-03-03 19:00:00,After Auschwitz,89,790.0,60.0,273.75
2019-03-04 17:00:00,Cold War,9,61.0,0.0,28.5
2019-03-04 19:30:00,The Favourite,30,262.25,0.0,135.0
2019-03-05 17:00:00,2019 Oscar Nominated Short Films: Animation,12,98.25,0.0,12.75
2019-03-05 19:00:00,The Oscar Nominated Short Films 2019: Live Action,7,63.0,0.0,32.5
2019-03-06 17:00:00,The Oscar Nominated Short Films 2019: Live Action,3,24.0,0.0,18.5
2019-03-06 19:30:00,The Oscar Nominated Short Films 2019: Documentary,9,66.5,0.0,22.5
2019-03-07 17:30:00,2019 Oscar Nominated Short Films: Animation,6,50.25,0.0,19.5
2019-03-07 19:30:00,The Favourite,37,296.0,0.0,178.25
2019-03-08 17:00:00,Stan & Ollie,23,188.5,0.0,95.25
2019-03-08 19:30:00,They Shall Not Grow Old,49,444.0,0.0,198.5
2019-03-09 12:00:00,Science Fair,14,104.5,0.0,36.75
2019-03-09 14:30:00,Science Fair,16,120.75,0.0,71.0
2019-03-09 17:00:00,Stan & Ollie,44,351.0,0.0,174.5
2019-03-09 19:30:00,They Shall Not Grow Old,58,519.0,0.0,194.0
2019-03-10 13:30:00,Stan & Ollie,42,297.75,0.0,159.75
2019-03-10 16:00:00,They Shall Not Grow Old,64,531.0,0.0,195.75
2019-03-10 19:00:00,The Cakemaker,84,710.0,0.0,254.5
2019-03-11 19:30:00,They Shall Not Grow Old,41,355.0,0.0,138.25
2019-03-12 17:00:00,Stan & Ollie,9,65.5,0.0,15.75
2019-03-12 19:30:00,They Shall Not Grow Old,39,364.5,0.0,134.5
2019-03-13 17:00:00,Science Fair,10,75.0,0.0,51.5
2019-03-13 19:30:00,Meeting the Man: James Baldwin in Paris / Ornette: Made in America,12,40.0,0.0,57.5
2019-03-14 17:00:00,Stan & Ollie,11,59.0,0.0,40.75
2019-03-14 19:30:00,They Shall Not Grow Old,40,368.0,0.0,145.0
2019-03-15 16:00:00,Zama,1,8.75,0.0,0.0
2019-03-15 19:00:00,Jimi Hendrix Electric Church,10,56.5,0.0,29.0
2019-03-16 13:00:00,They Shall Not Grow Old,23,191.5,0.0,35.25
2019-03-16 16:00:00,Hotel by the River,10,67.75,0.0,15.75
2019-03-16 19:00:00,Jimi Hendrix Electric Church,16,151.5,35.0,68.25
2019-03-17 11:30:00,Hotel by the River,6,48.75,0.0,28.75
2019-03-17 14:00:00,Jimi Hendrix Electric Church,8,58.25,0.0,37.25
2019-03-17 16:30:00,Zama,7,50.25,0.0,18.5
2019-03-17 19:30:00,They Shall Not Grow Old,37,344.25,0.0,143.5
2019-03-18 17:00:00,Jimi Hendrix Electric Church,11,91.0,0.0,65.75
2019-03-18 19:30:00,They Shall Not Grow Old,41,353.5,0.0,118.0
2019-03-19 17:00:00,Hotel by the River,11,65.5,0.0,32.0
2019-03-19 19:30:00,Jimi Hendrix Electric Church,17,160.0,0.0,91.0
2019-03-20 17:00:00,Jimi Hendrix Electric Church,7,59.75,0.0,31.25
2019-03-20 19:30:00,Zama,15,140.5,0.0,25.5
2019-03-21 17:00:00,Jimi Hendrix Electric Church,9,68.5,0.0,51.5
